FighterID,Name,Height,Weight,Reach,DOB,SSPM,StrkACC,SSAbsPM,StrkDEF,TDAVG,TDACC,TDDEF,SUBAVG,Wins,Losses,WLDiff,Fire
17c6e35e4da505b0,J.T Taylor,"5'10""",,,  --,3.17,0.8,3.7,0.26,3.96,1,0,7.9,1,0,1,1
eae48ff31db420c2,Arman Tsarukyan,"5'7""",155,72,1996,3.82,0.48,1.91,0.54,3.43,0.36,0.75,0,7,2,5,2
87911d22a79d3203,Taneisha Tennant,"5'7""",145,70,1989,5.67,0.55,3.4,0.71,0,0,1,0,0,1,-1,-1
aceffa19749c4dc0,Zubaira Tukhugov,"5'8""",155,68,1991,3.17,0.39,3.07,0.63,2.13,0.39,1,0,5,3,2,-1
33b2f68ef95252e0,Miguel Torres,"5'9""",135,76,1981,3.98,0.43,1.86,0.74,0,0,0.17,1.6,8,4,4,-1
1bf49bf829964144,Akihito Tanaka,,,,  --,0.19,0.5,2.05,0.38,5.59,0.66,0,0,0,1,-1,-1
86061eaba822bfea,John Teixeira,"5'7""",145,,1986,3.36,0.35,3.2,0.63,1,0.27,0.71,0.7,0,1,-1,-1
679ae8c4fd022c6b,Anatoly Tokov,"5'10""",185,,1990,3.51,0.72,0.54,0.66,2.03,1,1,0,0,0,0,0
2d5fbe2103f97053,Hideo Tokoro,"5'7""",135,,1977,1.78,0.37,2.01,0.65,0.87,0.34,0.44,2.3,8,8,0,-1
e6b233a007cb06c4,Reynaldo Trujillo,"5'9""",155,,1982,0,0,0,0,0,0,0,0,1,0,1,1
008cf84faae9c7a5,Bryan Travers,,155,,1983,2.33,0.48,3.93,0.55,2,0.28,0.63,0,0,2,-2,-1
c62fbc117d57b943,Tai Tuivasa,"6'2""",264,75,1993,3.98,0.49,4.98,0.43,0,0,0.54,0,8,6,2,-1
31ef8b67e13495b3,Tecia Torres,"5'1""",115,60,1989,4.74,0.48,3.59,0.61,0.66,0.14,0.61,0.1,9,6,3,-1
8e893f269d5696b2,Tyler Toner,"5'8""",145,70,1983,2.95,0.52,2.13,0.62,0,0,0.54,0.4,2,2,0,-1
fbf0537e420e698e,Daniel Teymur,"5'5""",145,69,1988,3.08,0.46,3.93,0.56,0.56,0.18,0.6,0.3,1,4,-3,-1
f70144caea5c4c80,Eugenio Tadeu,"5'8""",160,,  --,0,0,0,0,0,0,0,0,0,1,-1,-1
b9aa0024f295609e,Dave Terrel,"5'8""",170,,1978,2.62,0.43,2.8,0.48,3.28,0.38,1,0,2,1,1,-1
c95fbc085e17a532,Akitoshi Tamura,"5'9""",135,70,1980,3.73,0.43,1.94,0.78,0,0,0.2,1,1,2,-1,-1
